district,language,families,reading,best_written_tier,best_written_tier_local_only,best_oral_tier,agencies_at_tier3,verified_tier3,best_provider,providers_at_tier3,written_gap,oral_gap,gap_score,severity,families_no_written_anywhere,families_no_local_written,families_no_local_document
Federal Way School District,Swahili,23,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,13.8,4.6,11.0,0.478,0,0,23
Kent School District,Korean,22,conservative,2,2,2,6,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; Public Health Seattle and King County; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,13.2,4.4,10.6,0.482,0,0,22
Federal Way School District,Chuukese,22,conservative,2,2,2,2,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County,13.2,4.4,10.6,0.482,0,0,22
Federal Way School District,Marshallese,21,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; WashingtonLawHelp,12.6,4.2,10.1,0.481,0,0,21
Tukwila School District,Khmer,21,conservative,2,2,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,12.6,4.2,10.1,0.481,0,0,21
Tukwila School District,Tigrinya,21,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,12.6,4.2,10.1,0.481,0,0,21
Kent School District,Kirundi,10,conservative,0,0,0,0,0,City of Auburn,,10.0,10.0,10.0,1.0,10,10,10
Kent School District,Maay Maay,10,conservative,0,0,0,0,0,City of Auburn,,10.0,10.0,10.0,1.0,10,10,10
Highline School District,Amharic,164,conservative,3,3,2,4,2,City of Burien,City of Burien; International Community Health Services; King County Library System; Washington Healthplanfinder,0.0,32.8,9.8,0.06,0,0,0
Kent School District,Wolof,15,conservative,1,1,2,0,0,City of Kent,,12.8,3.0,9.8,0.653,0,0,15
Highline School District,Lingala,15,conservative,1,1,2,0,0,City of Burien,,12.8,3.0,9.8,0.653,0,0,15
Kent School District,Lao,20,conservative,2,2,2,3,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder,12.0,4.0,9.6,0.48,0,0,20
Highline School District,Oromo,20,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,12.0,4.0,9.6,0.48,0,0,20
Auburn School District,Tongan,19,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,11.4,3.8,9.1,0.479,0,0,19
Highline School District,Swahili,19,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,11.4,3.8,9.1,0.479,0,0,19
Auburn School District,Kosraean,9,conservative,0,0,0,0,0,City of Auburn,,9.0,9.0,9.0,1.0,9,9,9
Renton School District,Mien,9,conservative,0,0,0,0,0,City of Renton,,9.0,9.0,9.0,1.0,9,9,9
Tukwila School District,Tedim,9,conservative,0,0,0,0,0,City of Tukwila,,9.0,9.0,9.0,1.0,9,9,9
Federal Way School District,Khmer,18,conservative,2,2,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,10.8,3.6,8.6,0.478,0,0,18
Federal Way School District,Tagalog,18,conservative,2,2,2,4,0,King County Metro,King County Metro; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,10.8,3.6,8.6,0.478,0,0,18
